[62.01, 40.8]
[62.0, 41.02]
[61.99, 40.8]
[61.98, 40.8]
[61.98, 40.8]
[61.96, 41.02]
[61.93, 41.02]
[61.91, 41.02]
[61.91, 40.8]
[61.92, 41.02]
[61.89, 41.02]
[61.88, 40.8]
[61.86, 41.24]
[61.86, 41.02]
[61.85, 41.02]
[61.82, 41.02]
[61.82, 41.02]
[61.81, 41.24]
[61.78, 41.24]
[61.78, 41.24]
[61.77, 41.24]
[61.74, 41.24]
[61.77, 41.02]
[61.73, 41.24]
[61.72, 41.24]
[61.72, 41.02]
[61.71, 41.24]
[61.68, 41.24]
[61.68, 41.24]
[61.63, 41.24]
[61.66, 41.24]
[61.63, 41.46]
[61.62, 41.46]
[61.6, 41.46]
[61.6, 41.46]
[61.58, 41.46]
[61.57, 41.46]
[61.54, 41.46]
[61.56, 41.67]
[61.53, 41.46]
[61.49, 41.24]
[61.51, 41.67]
[61.48, 41.46]
[61.47, 41.46]
[61.46, 41.67]
[61.44, 41.46]
[61.43, 41.46]
[61.42, 41.67]
[61.4, 41.67]
[61.4, 41.46]
[61.39, 41.46]
[61.37, 41.46]
[61.34, 41.67]
[61.34, 41.67]
[61.32, 41.67]
[61.33, 41.89]
[61.31, 41.67]
[61.29, 41.67]
[61.28, 41.89]
[61.27, 41.67]
[61.25, 41.89]
[61.25, 41.67]
[61.24, 41.89]
[61.24, 41.67]
[61.22, 41.89]
[61.19, 41.89]
[61.19, 42.11]
[61.16, 42.11]
[61.17, 41.89]
[61.14, 41.89]
[61.13, 42.11]
[61.13, 41.89]
[61.12, 41.89]
[61.1, 42.11]
[61.09, 42.11]
[61.09, 41.89]
[61.09, 42.11]
[61.06, 42.11]
[61.04, 41.89]
[61.03, 41.89]
[61.03, 41.89]
[61.01, 42.11]
[61.01, 42.33]
[60.97, 42.55]
[60.98, 42.11]
[60.95, 42.11]
[60.95, 42.11]
[60.93, 41.89]
[60.93, 42.33]
[60.93, 42.11]
[60.91, 42.33]
[60.89, 42.11]
[60.88, 42.33]
[60.88, 42.33]
[60.86, 42.33]
[60.85, 42.33]
[60.82, 42.33]
[60.82, 42.55]
[60.81, 42.55]
[60.8, 42.33]
[60.79, 42.55]
[60.75, 42.33]
[60.78, 42.55]
[60.73, 42.55]
[60.72, 42.55]
[60.71, 42.55]
[60.7, 42.33]
[60.7, 42.55]
[60.68, 42.78]
[60.67, 42.55]
[60.65, 42.55]
[60.65, 42.78]
[60.65, 42.33]
[60.64, 42.78]
[60.59, 42.78]
[60.59, 42.55]
[60.57, 42.55]
[60.58, 42.55]
[60.57, 42.55]
[60.54, 42.55]
[60.52, 42.55]
[60.51, 42.78]
[60.5, 42.78]
[60.49, 42.78]
[60.48, 43.0]
[60.47, 42.78]
[60.45, 43.0]
[60.42, 42.78]
[60.41, 43.0]
[60.4, 42.78]
[60.41, 43.0]
[60.39, 43.0]
[60.37, 43.0]
[60.36, 42.78]
[60.35, 43.0]
[60.34, 43.0]
[60.34, 43.0]
[60.32, 43.22]
[60.29, 43.22]
[60.3, 43.22]
[60.29, 43.22]
[60.27, 43.0]
[60.26, 43.22]
[60.26, 43.22]
[60.24, 43.0]
[60.24, 43.0]
[60.23, 43.22]
[60.21, 43.0]
[60.2, 43.44]
[60.18, 43.44]
[60.17, 43.44]
[60.18, 43.44]
[60.15, 43.44]
[60.15, 43.22]
[60.13, 43.44]
[60.12, 43.22]
[60.11, 43.44]
[60.09, 43.44]
[60.09, 43.44]
[60.08, 43.67]
[60.07, 43.44]
[60.05, 43.44]
[60.03, 43.44]
[60.01, 43.44]
[60.03, 43.44]
[60.01, 43.22]
[59.99, 43.44]
[59.97, 43.44]
[59.96, 43.44]
[59.96, 43.44]
[59.94, 43.44]
[59.94, 43.67]
[59.93, 43.44]
[59.92, 43.44]
[59.91, 43.67]
[59.9, 44.12]
[59.86, 43.89]
[59.88, 43.89]
[59.85, 43.44]
[59.85, 43.89]
[59.82, 43.89]
[59.82, 43.67]
[59.8, 43.67]
[59.8, 43.89]
[59.78, 43.89]
[59.78, 43.89]
[59.77, 43.67]
[59.76, 43.89]
[59.76, 43.67]
[59.74, 43.89]
[59.71, 43.89]
[59.71, 43.67]
[59.71, 43.89]
[59.68, 43.89]
[59.67, 43.89]
[59.66, 43.67]
[59.67, 44.12]
[59.64, 43.89]
[59.63, 44.12]
[59.63, 44.12]
[59.61, 44.12]
[59.61, 44.12]
[59.62, 43.89]
[59.59, 44.12]
[59.58, 44.34]
[59.54, 44.12]
[59.55, 44.12]
[59.55, 44.12]
[59.52, 44.12]
[59.51, 44.12]
[59.51, 44.12]
[59.48, 44.12]
[59.48, 44.12]
[59.47, 44.12]
[59.47, 44.12]
[59.46, 44.34]
[59.46, 44.12]
[59.44, 44.34]
[59.41, 44.12]
[59.39, 44.34]
[59.39, 44.34]
[59.39, 44.34]
[59.38, 44.12]
[59.35, 44.34]
[59.35, 44.57]
[59.34, 44.79]
[59.33, 44.34]
[59.3, 44.34]
[59.32, 44.57]
[59.3, 44.79]
[59.27, 44.34]
[59.27, 44.57]
[59.25, 44.79]
[59.24, 44.57]
[59.24, 44.57]
[59.22, 44.57]
[59.22, 44.57]
[59.2, 44.79]
[59.18, 44.79]
[59.16, 44.79]
[59.17, 44.57]
[59.15, 44.79]
[59.14, 44.79]
[59.12, 44.79]
[59.12, 44.79]
[59.11, 44.79]
[59.09, 45.02]
[59.08, 44.79]
[59.08, 45.02]
[59.08, 44.79]
[59.04, 44.79]
[59.04, 44.79]
[59.03, 45.02]
[59.02, 45.02]
[59.01, 45.02]
[59.01, 45.02]
[59.0, 44.79]
[58.97, 45.02]
[58.99, 45.25]
[58.96, 45.02]
[58.93, 45.25]
[58.95, 45.02]
[58.92, 45.02]
[58.92, 45.25]
[58.91, 45.02]
[58.9, 45.25]
[58.88, 45.02]
[58.88, 45.25]
[58.86, 45.25]
[58.85, 45.25]
[58.85, 45.48]
[58.81, 45.25]
[58.84, 45.25]
[58.8, 45.02]
[58.79, 45.48]
[58.77, 45.25]
[58.78, 45.25]
[58.75, 45.02]
[58.76, 45.25]
[58.75, 45.48]
[58.74, 45.25]
[58.75, 45.71]
[58.71, 45.71]
[58.72, 45.25]
[58.71, 45.48]
[58.67, 45.48]
[58.68, 45.48]
[58.67, 45.48]
[58.67, 45.71]
[58.63, 46.17]
[58.64, 45.71]
[58.63, 45.48]
[58.62, 45.94]
[58.62, 45.71]
[58.6, 45.71]
[58.61, 45.71]
[58.59, 45.71]
[58.6, 45.71]
[58.58, 45.71]
[58.58, 45.94]
[58.58, 45.71]
[58.56, 45.94]
[58.55, 45.94]
[58.52, 45.71]
[58.49, 45.94]
[58.49, 45.71]
[58.5, 45.94]
[58.48, 45.71]
[58.47, 46.17]
[58.48, 45.71]
[58.46, 45.94]
[58.45, 45.71]
[58.44, 45.94]
[58.43, 46.17]
[58.44, 45.94]
[58.41, 45.94]
[58.4, 45.71]
[58.37, 46.17]
[58.4, 45.71]
[58.37, 46.17]
[58.37, 45.94]
[58.36, 46.17]
[58.35, 45.94]
[58.34, 46.17]
[58.33, 45.94]
[58.34, 46.17]
[58.32, 46.4]
[58.31, 46.4]
[58.3, 46.17]
[58.29, 46.17]
[58.28, 46.17]
[58.27, 46.63]
[58.26, 46.17]
[58.25, 46.4]
[58.23, 46.17]
[58.23, 46.17]
[58.22, 46.4]
[58.22, 46.63]
[58.19, 46.4]
[58.2, 46.4]
[58.19, 46.63]
[58.19, 46.17]
[58.17, 46.4]
[58.16, 46.4]
[58.16, 46.4]
[58.14, 46.63]
[58.14, 46.4]
[58.14, 46.63]
[58.13, 46.4]
[58.11, 46.4]
[58.1, 46.4]
[58.1, 46.63]
[58.08, 46.86]
[58.07, 46.63]
[58.06, 46.63]
[58.05, 46.63]
[58.04, 46.63]
[58.04, 46.86]
[58.02, 46.63]
[58.01, 47.09]
[58.01, 46.63]
[57.99, 46.86]
[57.97, 46.63]
[57.97, 46.86]
[57.97, 46.63]
[57.94, 46.86]
[57.96, 46.86]
[57.93, 46.63]
[57.93, 46.86]
[57.9, 47.09]
[57.91, 46.86]
[57.89, 47.09]
[57.88, 46.86]
[57.88, 47.09]
[57.88, 46.63]
[57.86, 47.09]
[57.85, 47.09]
[57.82, 46.86]
[57.83, 46.86]
[57.81, 47.09]
[57.83, 47.09]
[57.83, 47.09]
[57.79, 46.86]
[57.79, 47.09]
